
NorNE_ne_CF_MATRIX_O_nb-bert-base_seed_101
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT,O
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT,O
B-GPE_LOC,399,0,1,0,0,2,0,10,0,0,1,2,0,0,0,10,1,0,2
I-DRV,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
I-LOC,0,0,56,1,15,0,0,0,0,0,0,0,0,0,1,2,1,0,9
B-PER,0,0,0,935,0,4,0,0,0,0,0,9,0,0,0,2,0,0,11
I-PER,0,0,1,5,503,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-PROD,1,0,0,10,0,77,0,0,0,2,0,11,0,0,0,2,0,0,28
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,17,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,1,0,0,3
B-DRV,0,0,0,2,0,0,0,0,0,60,0,1,0,0,0,3,0,0,12
I-PROD,3,0,0,1,4,3,0,0,0,0,51,0,0,0,0,5,5,0,54
B-ORG,1,0,0,19,0,10,0,1,1,1,0,436,0,0,0,10,1,0,41
B-MISC,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
I-GPE_LOC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,0,0,2
B-LOC,13,0,0,10,0,0,0,0,0,0,0,2,0,0,0,146,0,0,14
I-ORG,7,0,4,2,5,0,0,0,0,0,0,5,0,0,0,0,191,1,33
I-EVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
O,5,4,2,4,0,29,2,2,5,13,21,26,0,0,8,11,7,1,51131

NorNE_ne_CF_MATRIX_O_nb-bert-base_seed_37
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT,O
B-GPE_LOC,396,0,0,0,0,1,0,13,0,0,2,2,0,0,0,13,0,0,1
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
I-LOC,0,0,60,1,15,0,0,0,0,0,0,0,0,0,0,1,3,0,5
B-PER,1,0,0,935,0,2,0,1,0,0,0,7,0,0,0,1,0,0,14
I-PER,0,0,0,6,503,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-PROD,1,0,0,9,0,69,0,0,0,2,0,11,1,0,0,5,0,0,33
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,13,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,1,0,0,1
B-DRV,0,0,0,2,0,1,0,0,1,59,0,0,0,0,0,3,0,0,12
I-PROD,2,0,0,2,4,2,0,0,0,0,52,0,0,0,0,6,3,0,55
B-ORG,1,0,0,19,0,8,0,3,1,0,0,437,0,0,0,8,1,0,43
B-MISC,0,0,0,3,0,1,0,0,0,0,0,0,8,0,0,0,0,0,2
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
I-GPE_LOC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,2
B-LOC,12,0,0,11,0,0,0,0,0,0,0,5,0,0,0,144,0,0,13
I-ORG,4,0,1,4,3,0,0,0,0,0,6,5,0,0,0,0,192,1,32
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
O,5,2,1,7,1,32,2,1,1,9,21,38,4,0,8,10,4,0,51125

NorNE_ne_CF_MATRIX_O_nb-bert-base_seed_42
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT,O
B-GPE_LOC,400,1,0,0,0,0,0,13,0,0,0,1,0,0,1,10,0,0,2
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
I-LOC,0,0,55,1,17,0,0,0,0,0,0,0,0,0,0,2,2,0,8
B-PER,0,0,0,922,1,2,0,0,0,0,0,13,0,0,0,1,0,0,22
I-PER,0,0,0,8,501,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-PROD,0,0,0,13,0,70,0,1,1,1,0,12,1,0,0,2,0,0,30
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,11,0,0,0,0,0,0,48,0,0,0,2,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,1,0,0,1
B-DRV,0,1,0,1,0,0,0,0,1,62,0,0,0,0,0,3,0,0,10
I-PROD,2,0,0,2,7,1,0,0,0,0,56,0,0,0,0,6,3,0,49
B-ORG,1,0,0,17,0,13,0,0,0,2,0,441,0,0,0,11,1,0,35
B-MISC,0,0,0,5,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
I-GPE_LOC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,2
B-LOC,14,0,0,12,0,0,0,0,0,0,0,3,0,0,0,141,0,0,15
I-ORG,6,0,2,1,10,0,0,0,0,1,13,6,0,0,0,0,183,0,26
I-EVT,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
O,4,8,1,6,2,38,2,2,7,10,21,43,6,1,8,10,5,1,51096

NorNE_ne_CF_MATRIX_O_nb-bert-base_seed_8
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT,O
B-GPE_LOC,406,0,0,0,0,0,0,6,0,0,1,4,0,0,1,8,0,0,2
I-DRV,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
I-LOC,0,0,54,1,15,0,0,0,0,0,0,0,0,0,1,2,4,0,8
B-PER,1,0,0,941,0,1,0,0,0,0,0,4,0,0,0,2,0,0,12
I-PER,0,0,1,6,501,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B-PROD,1,0,0,9,0,72,0,0,0,1,0,13,0,0,0,6,0,0,29
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,18,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
B-EVT,1,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,2
B-DRV,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,3,0,0,14
I-PROD,2,0,0,0,5,0,0,0,0,0,58,0,0,0,0,5,4,0,52
B-ORG,0,0,0,15,0,15,0,0,1,0,0,441,0,0,0,11,0,0,38
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
I-GPE_LOC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,0,0,2
B-LOC,12,0,0,10,0,0,0,0,0,0,0,5,0,0,0,143,0,0,15
I-ORG,5,0,2,2,4,0,0,0,0,0,11,5,0,0,0,1,181,1,36
I-EVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
O,7,4,2,6,1,22,0,1,2,11,23,29,0,0,9,5,6,1,51142
