
NorNE_ne_CF_MATRIX_NO_O_norbert_seed_37
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
NorNE_ne_CF_MATRIX_NO_O_norbert_seed_42
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,57,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
I-DRV,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_LOC,0,1,0,0,386,0,17,0,16,0,0,0,3,0,2,0,0,0
I-GPE_LOC,0,0,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,0
B-GPE_ORG,1,0,0,0,17,0,41,0,0,0,0,0,1,0,1,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,20,0,0,0,125,0,0,0,11,0,10,0,1,0
I-LOC,0,0,0,0,0,0,0,0,3,42,0,0,0,13,1,10,0,0
B-MISC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,2,0,0,0,2,0,6,0,11,0,0,0,414,1,17,0,10,0
I-ORG,0,2,0,0,6,0,0,0,1,6,0,0,7,169,0,7,0,10
B-PER,1,0,1,0,0,0,2,0,1,0,0,0,6,0,908,1,3,0
I-PER,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,500,0,0
B-PROD,2,0,0,0,1,0,0,0,5,0,0,0,17,0,11,0,56,0
I-PROD,0,1,0,0,1,0,0,0,6,0,0,0,0,6,2,7,3,46
