
NorNE_ne_CF_MATRIX_NO_O_nbailab-base-ner-scandi_seed_101
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
I-LOC,0,0,59,1,14,0,0,0,0,0,3,0,0,0,0,2,5,0
B-PER,1,0,0,915,3,3,0,2,0,0,0,13,0,0,0,3,0,0
I-PER,0,0,1,7,501,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PROD,0,0,0,8,0,69,0,1,0,0,1,14,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,16,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
B-EVT,1,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0
B-DRV,0,0,0,1,0,0,0,0,1,59,0,1,0,0,0,3,0,0
I-PROD,3,0,0,1,7,1,0,0,0,0,65,0,0,0,0,5,1,0
B-ORG,0,0,0,17,0,11,0,3,1,0,0,438,0,0,0,9,1,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,0,0
B-LOC,16,0,0,8,0,0,0,0,0,0,0,11,0,0,0,137,0,0
I-ORG,3,0,3,0,7,0,0,0,0,0,5,5,0,0,0,0,190,1
I-EVT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
